,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Puhwtl,,7,5,,7,,,8,,,7,,,,,,,,,,,4,,,,,,,12,,,,8,,,,7,8,,,,,1,,,,,7,,12,,,,,
Mbzk,6,,,,,1,3,,,,,8,,,,2,,,,5,,,10,,,12,12,,1,,12,,6,,,,10,3,,2,,,,,,10,,,8,,,,,4,
Elsnfq,,,,12,10,,,10,,,,5,10,,,3,,,10,12,,,,5,,,,,,10,,2,,,,,,,5,,,,6,,,1,,,,6,,,,,
Suocf,,5,,,6,,1,,,,1,3,3,1,4,,,12,,,,2,,,8,,6,6,8,,,5,,,,12,,,,,,,,,,5,1,,5,,,,6,1,
Jesd,4,,,4,,,,6,3,5,6,,,,7,,,,,7,6,,,,,2,,,,,,,,,6,,,5,4,12,,,8,12,8,,,2,,,,4,,2,7
Eklc,,,,,2,6,,5,,12,10,,2,,,5,,5,,,3,,,,5,3,4,,,2,,,,,,,,1,,,,12,12,,10,,,3,,,,,,,
Jxwh,7,10,12,,1,,4,,2,10,,,,,,,,,,1,,,,,,,,,,,,4,,,,,1,,,,5,,,,12,,,8,,,,7,,12,
Laqvtt,,,4,10,,,,,,,,12,,,5,10,,,,6,2,,2,,,,5,10,,,3,,,,,,,,,,,,,1,,12,10,4,12,8,,,7,,1
Ztfz,10,,,,4,,2,,5,2,,,,7,,12,6,,1,,,,5,4,7,,,,,1,,8,,6,1,8,4,7,,,,2,,,,7,12,,,,7,1,,,
Izzln,,,,,,,,,,8,12,6,7,8,1,,,,3,,,,,12,2,,10,8,,5,8,,,3,,,,,,,8,8,,,,,,,,,12,,,,12
Rxrrr,,,,,,,,,,,,,,,,,,10,,,1,8,3,,4,4,,1,,3,,,10,,10,4,5,,,,,10,,,3,,4,12,,,,,4,,4
Tsjg,,2,,,8,,,,10,4,,1,,,,,5,,5,,10,,,,,,,,5,,,,5,8,,,8,2,7,7,,,10,,,,,1,,2,,,,7,
Gxsi,,,,,,2,10,,,6,,,,3,,4,4,4,,8,,7,,,1,,,,,,10,,,10,,1,2,4,,,,,,,4,,,,1,3,6,8,,,10
Avhog,,,,,,4,12,4,,,,,,2,2,1,,,,,,,12,7,,,,12,,,,,,,,,,,8,,,7,2,7,,,6,,,,3,10,5,,5
Ylcw,3,,,,,8,5,,,,8,,,5,,,,,8,,,,7,10,,,,7,6,8,,,12,7,,2,,,,,12,4,,10,6,,8,,,,8,,1,,
Zvowx,,,,7,,,,,8,,,,,,8,,10,8,12,,,,,,,,,,,6,4,1,3,4,,7,,12,,,1,,3,4,2,8,,6,,7,,,,,
Qpsrer,12,8,6,,,,,7,,1,2,7,,,,6,,3,6,,,,1,1,6,6,,,,,,,,5,,,,,2,,,,,2,,2,,,3,,,,,5,
Ndnxwz,2,,,,,7,,,4,,,,,6,10,,7,7,,,4,,6,2,,,2,,,12,,,7,,4,5,,,12,,2,,,6,,,,,10,,10,5,,3,
Poscny,,1,3,,12,10,6,,7,3,,,5,,12,,1,1,,,,,,,,5,7,3,4,,7,,,,3,,,,6,1,,,,,,3,,10,7,,5,,3,,6
Rvrslp,,,8,6,5,,,,,,,,8,,6,,3,6,2,,,1,,3,12,,1,,,,,7,,,,3,,,1,5,7,,7,,,6,5,,,4,1,,10,8,
Xntg,5,,1,1,,5,8,3,12,,4,,,12,,,,,,2,8,6,,8,10,,,,3,,5,10,1,,5,,,,,,,1,,5,,,7,,,1,2,,12,,2
Vydve,,12,2,5,,,7,,,,5,2,4,10,3,,8,2,,10,12,12,,,,8,,,,,,,4,1,,,3,6,,8,4,,5,,5,4,,,6,,,6,,10,
Glvszi,1,,,,,,,,,,,,,,,8,,,,,7,5,,6,,1,,5,2,7,2,12,,,12,6,,10,,10,6,,,3,,,2,,,,4,,,,
Uzsn,8,,10,3,3,12,,2,,,,4,12,,,,,,7,,,,4,,,,,2,7,4,1,6,,,,10,,,,6,,3,,,1,,3,,2,,,12,,,
Wmgiss,,6,,,,,,,,7,,10,1,,,,2,,,4,,10,,,,10,8,,10,,,,,,2,,6,,3,3,10,6,,,,,,,,10,,3,,,
Urgvk,,3,7,8,,3,,1,1,,,,6,4,,,12,,,3,5,,,,,,3,4,,,6,,2,12,8,,,,,,,,,8,,,,,,,,,8,,3
Ncgzp,,4,,2,,,,12,6,,3,,,,,7,,,4,,,3,8,,3,7,,,,,,3,,2,7,,12,,10,4,3,5,4,,7,,,5,4,5,,2,2,6,8
