ISC 71, Albfdc, Asmp, Badadf, Bgwkys, Bmxhcu, Chienn, Dwhr, Dxgxa, Fgmwbz, Fuxtax, Imkp, Jhhm, Jpow, Ldlszf, Lzihpl, Mxkah, Nepk, Omoxmm, Pdds, Pndyf, Quha, Ucjm, Vpnhw, Vqahhq, Xxabu, Ynaysn, Zfxe, Sion, Yrqqw, Lwuzf, Sved, Vugl, Lxjh, Dzct, Kcax, Rkfn, Kxxe, Mvki, Puycrw, Zsvsib, Wpruf, Whuhqu, Ukyq, Udbgt, Fwrtu, Ofnqni, Gfpumc, Kdkf, Vcfpi, Qiqzn, Snwid, Kskwi, Wjrv, Zjmch, Knrjuc
Albfdc, 0, 23.8839285714286, 39.5089285714286, 26.0044642857143, 19.4196428571429, 15.1785714285714, 25.78125, 26.3392857142857, 43.9732142857143, 26.7857142857143, 23.2142857142857, 8.25892857142857, 0, 41.9642857142857, 17.4107142857143, 3.90625, 23.6607142857143, 20.5357142857143, 62.0535714285714, 27.6785714285714, 7.36607142857143, 13.3928571428571, 54.0178571428571, 31.6964285714286, 41.5178571428571, 14.9553571428571, 28.125, 42.1875, 34.5982142857143, 23.6607142857143, 23.4375, 23.8839285714286, 17.6339285714286, 44.8660714285714, 36.8303571428571, 7.58928571428571, 32.3660714285714, 43.9732142857143, 36.6071428571429, 17.8571428571429, 19.6428571428571, 36.1607142857143, 19.6428571428571, 17.6339285714286, 34.5982142857143, 20.0892857142857, 15.8482142857143, 45.9821428571429, 35.7142857142857, 64.2857142857143, 42.1875, 17.1875, 4.46428571428571, 42.6339285714286, 21.875
Asmp, 23.8839285714286, 0, 4.6875, 14.2857142857143, 41.5178571428571, 61.3839285714286, 10.9375, 44.1964285714286, 28.7946428571429, 6.69642857142857, 31.25, 27.4553571428571, 37.5, 45.2008928571429, 7.14285714285714, 26.8973214285714, 11.6071428571429, 29.2410714285714, 22.8794642857143, 19.8660714285714, 5.35714285714286, 24.6651785714286, 25.6696428571429, 34.8214285714286, 27.5669642857143, 10.8258928571429, 32.1428571428571, 20.5357142857143, 39.2857142857143, 3.125, 14.5089285714286, 47.7678571428571, 20.5357142857143, 1.11607142857143, 57.1428571428571, 38.7276785714286, 29.9107142857143, 21.3169642857143, 12.8348214285714, 42.1875, 60.0446428571429, 48.2142857142857, 37.6116071428571, 52.34375, 51.3392857142857, 19.8660714285714, 0.669642857142857, 17.6339285714286, 22.3214285714286, 34.7098214285714, 33.4821428571429, 23.5491071428571, 33.0357142857143, 52.6785714285714, 42.96875
Badadf, 39.5089285714286, 4.6875, 0, 26.7857142857143, 32.1428571428571, 20.5357142857143, 19.4196428571429, 23.2142857142857, 27.2321428571429, 50.4464285714286, 28.4598214285714, 11.71875, 33.9285714285714, 25.5580357142857, 16.0714285714286, 2.45535714285714, 43.3035714285714, 14.2857142857143, 23.7723214285714, 43.75, 29.6875, 27.9017857142857, 25.8928571428571, 22.9910714285714, 14.7321428571429, 38.8392857142857, 53.125, 31.4732142857143, 48.8839285714286, 32.3660714285714, 39.2857142857143, 20.5357142857143, 18.8616071428571, 59.375, 23.6607142857143, 16.9642857142857, 64.9553571428571, 38.8392857142857, 27.2321428571429, 28.125, 26.2276785714286, 29.0178571428571, 24.7767857142857, 20.9821428571429, 7.58928571428571, 14.9553571428571, 41.2946428571429, 32.2544642857143, 36.1607142857143, 33.7053571428571, 12.5, 19.8660714285714, 13.1696428571429, 22.3214285714286, 35.0446428571429
Bgwkys, 26.0044642857143, 14.2857142857143, 26.7857142857143, 0, 22.4330357142857, 8.03571428571428, 18.5267857142857, 14.7321428571429, 15.8482142857143, 24.6651785714286, 34.7098214285714, 0, 23.1026785714286, 10.15625, 7.8125, 23.8839285714286, 10.0446428571429, 0.446428571428571, 17.4107142857143, 2.67857142857143, 16.5178571428571, 1.67410714285714, 33.3705357142857, 6.91964285714286, 19.3080357142857, 21.6517857142857, 21.09375, 13.6160714285714, 20.5357142857143, 4.91071428571429, 8.25892857142857, 25.5580357142857, 4.12946428571429, 22.7678571428571, 6.91964285714286, 4.46428571428571, 18.4151785714286, 22.3214285714286, 4.01785714285714, 15.8482142857143, 10.3794642857143, 32.03125, 31.0267857142857, 11.1607142857143, 15.1785714285714, 18.4151785714286, 12.6116071428571, 10.4910714285714, 35.8258928571429, 12.9464285714286, 17.5223214285714, 16.7410714285714, 11.9419642857143, 5.02232142857143, 21.9866071428571
Bmxhcu, 19.4196428571429, 41.5178571428571, 32.1428571428571, 22.4330357142857, 0, 49.1071428571429, 23.1026785714286, 62.1651785714286, 64.1741071428571, 31.25, 49.6651785714286, 30.5803571428571, 19.6428571428571, 36.6071428571429, 11.1607142857143, 46.6517857142857, 9.15178571428571, 18.3035714285714, 25.3348214285714, 15.625, 37.6116071428571, 37.9464285714286, 30.9151785714286, 28.7946428571429, 22.9910714285714, 26.5625, 16.6294642857143, 18.5267857142857, 10.0446428571429, 42.1875, 36.3839285714286, 50.3348214285714, 66.7410714285714, 14.9553571428571, 71.4285714285714, 57.1428571428571, 27.5669642857143, 17.4107142857143, 25.8928571428571, 38.1696428571429, 45.2008928571429, 47.5446428571429, 24.5535714285714, 26.1160714285714, 12.9464285714286, 33.0357142857143, 20.9821428571429, 27.6785714285714, 26.0044642857143, 24.8883928571429, 23.4375, 33.0357142857143, 51.4508928571429, 37.7232142857143, 18.75
Chienn, 15.1785714285714, 61.3839285714286, 20.5357142857143, 8.03571428571428, 49.1071428571429, 0, 36.6071428571429, 23.2142857142857, 49.7767857142857, 23.4375, 48.4375, 37.7232142857143, 33.2589285714286, 29.4642857142857, 30.8035714285714, 15.4017857142857, 45.5357142857143, 37.0535714285714, 20.6473214285714, 22.7678571428571, 4.6875, 27.0089285714286, 17.0758928571429, 27.6785714285714, 40.1785714285714, 29.4642857142857, 45.3125, 28.5714285714286, 47.3214285714286, 14.0625, 45.3125, 41.0714285714286, 30.8035714285714, 25.2232142857143, 57.1428571428571, 30.8035714285714, 18.3035714285714, 37.9464285714286, 28.5714285714286, 31.6964285714286, 47.0982142857143, 41.9642857142857, 14.5089285714286, 64.0625, 21.6517857142857, 50.6696428571429, 33.7053571428571, 28.125, 29.2410714285714, 14.9553571428571, 45.0892857142857, 50.4464285714286, 34.1517857142857, 52.0089285714286, 24.1071428571429
Dwhr, 25.78125, 10.9375, 19.4196428571429, 18.5267857142857, 23.1026785714286, 36.6071428571429, 0, 21.3169642857143, 43.6383928571429, 18.3035714285714, 49.7767857142857, 7.47767857142857, 35.2678571428571, 46.09375, 11.1607142857143, 22.0982142857143, 32.4776785714286, 40.1785714285714, 38.5044642857143, 13.8392857142857, 10.2678571428571, 16.40625, 40.9598214285714, 8.03571428571428, 42.8571428571429, 38.1696428571429, 32.03125, 26.2276785714286, 43.75, 37.5, 27.0089285714286, 22.0982142857143, 47.9910714285714, 52.4553571428571, 15.2901785714286, 26.3392857142857, 47.9910714285714, 42.7455357142857, 14.0625, 47.3214285714286, 15.8482142857143, 29.2410714285714, 33.4821428571429, 17.5223214285714, 21.6517857142857, 46.875, 28.3482142857143, 18.4151785714286, 22.5446428571429, 15.625, 20.3125, 34.375, 44.4196428571429, 3.79464285714286, 13.6160714285714
Dxgxa, 26.3392857142857, 44.1964285714286, 23.2142857142857, 14.7321428571429, 62.1651785714286, 23.2142857142857, 21.3169642857143, 0, 26.7857142857143, 17.4107142857143, 32.5892857142857, 3.34821428571429, 16.5178571428571, 38.8392857142857, 0, 9.375, 15.1785714285714, 17.8571428571429, 37.1651785714286, 8.92857142857143, 17.4107142857143, 17.8571428571429, 4.12946428571429, 11.1607142857143, 34.8214285714286, 18.0803571428571, 11.3839285714286, 24.5535714285714, 17.8571428571429, 13.9508928571429, 9.59821428571428, 36.1607142857143, 54.7991071428571, 23.4375, 63.3928571428571, 29.9107142857143, 58.0357142857143, 8.92857142857143, 6.80803571428571, 27.2321428571429, 27.0089285714286, 67.5223214285714, 28.125, 3.34821428571429, 17.8571428571429, 41.0714285714286, 15.625, 22.9910714285714, 35.7142857142857, 27.6785714285714, 23.6607142857143, 25.4464285714286, 25.3348214285714, 24.1071428571429, 30.3571428571429
Fgmwbz, 43.9732142857143, 28.7946428571429, 27.2321428571429, 15.8482142857143, 64.1741071428571, 49.7767857142857, 43.6383928571429, 26.7857142857143, 0, 59.1517857142857, 43.3035714285714, 25.1116071428571, 25.8928571428571, 57.3660714285714, 17.8571428571429, 36.2723214285714, 35.9375, 20.5357142857143, 15.1785714285714, 31.6964285714286, 17.1875, 18.5267857142857, 40.5133928571429, 15.625, 15.625, 32.3660714285714, 29.4642857142857, 38.8392857142857, 18.75, 32.1428571428571, 41.2946428571429, 55.1339285714286, 37.0535714285714, 18.9732142857143, 48.6607142857143, 71.6517857142857, 20.9821428571429, 38.1696428571429, 54.4642857142857, 22.3214285714286, 45.3125, 36.8303571428571, 6.91964285714286, 45.0892857142857, 18.3035714285714, 44.8660714285714, 40.625, 21.6517857142857, 37.2767857142857, 45.3125, 36.1607142857143, 23.4375, 48.8839285714286, 50.6696428571429, 12.5
Fuxtax, 26.7857142857143, 6.69642857142857, 50.4464285714286, 24.6651785714286, 31.25, 23.4375, 18.3035714285714, 17.4107142857143, 59.1517857142857, 0, 39.0625, 15.4017857142857, 18.9732142857143, 18.75, 2.67857142857143, 10.4910714285714, 53.7946428571429, 14.9553571428571, 7.36607142857143, 30.5803571428571, 18.3035714285714, 11.8303571428571, 13.7276785714286, 15.625, 12.0535714285714, 26.8973214285714, 24.1071428571429, 48.2142857142857, 36.3839285714286, 8.59375, 43.75, 14.2857142857143, 35.7142857142857, 28.90625, 25.1116071428571, 14.1741071428571, 35.7142857142857, 41.9642857142857, 57.1428571428571, 19.6428571428571, 52.6785714285714, 13.3928571428571, 30.1339285714286, 55.0223214285714, 20.6473214285714, 37.0535714285714, 38.5044642857143, 4.35267857142857, 59.8214285714286, 52.2321428571429, 10.4910714285714, 44.6428571428571, 20.5357142857143, 11.6071428571429, 23.4375
