ISC 75, Bgwkys, Bmxhcu, Chienn, Dzct, Fuxtax, Fwrtu, Jpow, Kdkf, Ldlszf, Lwuzf, Lxjh, Lzihpl, Mvki, Mxkah, Nepk, Ofnqni, Pndyf, Sion, Ucjm, Udbgt, Vpnhw, Vqahhq, Vugl, Wjrv, Yrqqw, Zfxe, Zsvsib, Dxgxa, Sved, Imkp, Xxabu, Quha, Badadf, Kcax, Rkfn, Kxxe, Puycrw, Wpruf, Whuhqu, Ukyq, Jhhm, Asmp, Omoxmm, Ynaysn, Albfdc, Gfpumc, Pdds, Vcfpi, Dwhr, Qiqzn, Snwid, Kskwi, Zjmch, Fgmwbz, Knrjuc
Bgwkys, 0, 51.3392857142857, 15.4017857142857, 36.3839285714286, 37.0535714285714, 10.0446428571429, 25.6696428571429, 31.25, 11.6071428571429, 40.1785714285714, 41.0714285714286, 55.3571428571429, 10.9375, 19.6428571428571, 21.875, 10.7142857142857, 31.8080357142857, 24.5535714285714, 33.9285714285714, 14.2857142857143, 19.8660714285714, 25.2232142857143, 8.81696428571428, 65.2901785714286, 23.7723214285714, 30.6919642857143, 14.7321428571429, 45.3125, 21.2053571428571, 22.5446428571429, 21.4285714285714, 37.2767857142857, 5.91517857142857, 25, 51.5625, 54.0178571428571, 40.625, 40.625, 26.5625, 17.6339285714286, 16.0714285714286, 16.2946428571429, 36.9419642857143, 33.9285714285714, 31.4732142857143, 19.4196428571429, 45.3125, 34.5982142857143, 50.6696428571429, 62.0535714285714, 18.3035714285714, 45.0892857142857, 44.6428571428571, 4.12946428571429, 26.6741071428571
Bmxhcu, 51.3392857142857, 0, 25.1116071428571, 20.6473214285714, 36.3839285714286, 34.8214285714286, 26.3392857142857, 45.0892857142857, 20.2008928571429, 69.3080357142857, 55.1339285714286, 56.25, 10.15625, 29.0178571428571, 21.2053571428571, 9.15178571428571, 46.4285714285714, 29.2410714285714, 14.5089285714286, 22.0982142857143, 33.0357142857143, 21.7633928571429, 14.0625, 36.3839285714286, 20.7589285714286, 33.4821428571429, 16.9642857142857, 65.625, 44.6428571428571, 19.4196428571429, 32.5892857142857, 42.1875, 9.375, 44.4196428571429, 44.6428571428571, 37.9464285714286, 11.6071428571429, 7.58928571428571, 33.2589285714286, 18.75, 42.6339285714286, 37.2767857142857, 38.8392857142857, 39.2857142857143, 40.625, 35.6026785714286, 28.3482142857143, 25.8928571428571, 49.1071428571429, 25.8928571428571, 29.9107142857143, 43.9732142857143, 31.4732142857143, 26.5625, 32.9241071428571
Chienn, 15.4017857142857, 25.1116071428571, 0, 10.2678571428571, 14.84375, 25.3348214285714, 13.6160714285714, 59.375, 3.45982142857143, 28.0133928571429, 35.6026785714286, 3.79464285714286, 6.69642857142857, 15.625, 20.9821428571429, 12.7232142857143, 22.0982142857143, 32.4776785714286, 37.2767857142857, 24.3303571428571, 1.67410714285714, 30.0223214285714, 50, 14.5089285714286, 16.7410714285714, 29.4642857142857, 23.2142857142857, 38.8392857142857, 33.7053571428571, 47.0982142857143, 22.5446428571429, 26.6741071428571, 9.82142857142857, 17.6339285714286, 6.47321428571428, 8.48214285714286, 27.4553571428571, 0.669642857142857, 21.5401785714286, 10.0446428571429, 45.3125, 11.3839285714286, 33.2589285714286, 26.6741071428571, 5.35714285714286, 20.9821428571429, 19.8660714285714, 53.125, 21.4285714285714, 4.46428571428571, 44.6428571428571, 24.6651785714286, 20.2008928571429, 20.5357142857143, 28.90625
Dzct, 36.3839285714286, 20.6473214285714, 10.2678571428571, 0, 31.8080357142857, 13.3928571428571, 10.7142857142857, 8.03571428571428, 6.69642857142857, 38.3928571428571, 24.4419642857143, 25.4464285714286, 11.1607142857143, 10.7142857142857, 27.6785714285714, 20.9821428571429, 1.78571428571429, 6.25, 7.14285714285714, 7.8125, 2.67857142857143, 10.2678571428571, 13.8392857142857, 20.7589285714286, 3.34821428571429, 0, 12.0535714285714, 15.1785714285714, 12.0535714285714, 3.125, 21.4285714285714, 23.6607142857143, 16.5178571428571, 0, 40.1785714285714, 12.5, 24.3303571428571, 15.4017857142857, 25.6696428571429, 20.0892857142857, 6.47321428571428, 0, 31.25, 19.1964285714286, 6.69642857142857, 8.25892857142857, 23.8839285714286, 12.2767857142857, 8.48214285714286, 24.5535714285714, 14.9553571428571, 20.9821428571429, 25.6696428571429, 11.1607142857143, 31.4732142857143
Fuxtax, 37.0535714285714, 36.3839285714286, 14.84375, 31.8080357142857, 0, 31.1383928571429, 28.5714285714286, 14.5089285714286, 15.1785714285714, 95.3125, 17.6339285714286, 33.9285714285714, 20.4241071428571, 5.69196428571429, 45.9821428571429, 20.3125, 29.7991071428571, 31.5848214285714, 23.8839285714286, 48.6607142857143, 28.7946428571429, 7.14285714285714, 28.4598214285714, 35.2678571428571, 19.8660714285714, 27.6785714285714, 27.4553571428571, 22.65625, 33.2589285714286, 20.7589285714286, 36.6071428571429, 35.4910714285714, 53.7946428571429, 15.625, 46.2053571428571, 57.3660714285714, 46.3169642857143, 38.3928571428571, 28.4598214285714, 49.5535714285714, 34.375, 17.8571428571429, 43.5267857142857, 51.7857142857143, 70.3125, 26.7857142857143, 45.7589285714286, 29.4642857142857, 52.34375, 46.2053571428571, 43.0803571428571, 39.9553571428571, 46.9866071428571, 22.7678571428571, 29.6875
Fwrtu, 10.0446428571429, 34.8214285714286, 25.3348214285714, 13.3928571428571, 31.1383928571429, 0, 29.6875, 32.5892857142857, 17.4107142857143, 37.2767857142857, 15.8482142857143, 36.71875, 23.6607142857143, 5.46875, 26.3392857142857, 34.8214285714286, 21.09375, 34.0401785714286, 22.7678571428571, 21.875, 16.2946428571429, 26.3392857142857, 11.8303571428571, 32.1428571428571, 4.12946428571429, 13.28125, 24.1071428571429, 43.5267857142857, 54.4642857142857, 11.2723214285714, 24.4419642857143, 20.9821428571429, 34.1517857142857, 31.9196428571429, 26.8973214285714, 29.9107142857143, 40.7366071428571, 21.7633928571429, 52.7901785714286, 44.3080357142857, 18.8616071428571, 23.8839285714286, 14.0625, 56.0267857142857, 28.2366071428571, 5.35714285714286, 26.1160714285714, 27.2321428571429, 5.80357142857143, 21.09375, 49.7767857142857, 18.3035714285714, 18.75, 24.1071428571429, 40.7366071428571
Jpow, 25.6696428571429, 26.3392857142857, 13.6160714285714, 10.7142857142857, 28.5714285714286, 29.6875, 0, 54.9107142857143, 16.0714285714286, 36.3839285714286, 38.6160714285714, 32.8125, 34.1517857142857, 9.375, 13.3928571428571, 67.4107142857143, 13.6160714285714, 62.1651785714286, 48.6607142857143, 40.9598214285714, 19.1964285714286, 28.125, 12.7232142857143, 76.1160714285714, 24.7767857142857, 27.2321428571429, 41.7410714285714, 12.1651785714286, 33.0357142857143, 30.1339285714286, 33.2589285714286, 38.0580357142857, 37.9464285714286, 24.5535714285714, 14.0625, 38.8392857142857, 33.2589285714286, 40.4017857142857, 60.9375, 20.0892857142857, 33.7053571428571, 49.1071428571429, 4.24107142857143, 20.5357142857143, 23.4375, 62.0535714285714, 22.3214285714286, 35.7142857142857, 23.4375, 45.7589285714286, 52.0089285714286, 46.09375, 52.7901785714286, 42.4107142857143, 40.8482142857143
Kdkf, 31.25, 45.0892857142857, 59.375, 8.03571428571428, 14.5089285714286, 32.5892857142857, 54.9107142857143, 0, 14.5089285714286, 27.9017857142857, 79.9107142857143, 27.2321428571429, 12.2767857142857, 17.2991071428571, 22.7678571428571, 16.5178571428571, 33.4821428571429, 42.1875, 60.9375, 30.5803571428571, 20.0892857142857, 40.1785714285714, 18.3035714285714, 25.5580357142857, 34.375, 17.0758928571429, 23.7723214285714, 51.7857142857143, 36.1607142857143, 51.7857142857143, 40.4017857142857, 32.8125, 22.7678571428571, 21.875, 15.4017857142857, 26.7857142857143, 40.1785714285714, 16.9642857142857, 40.8482142857143, 13.6160714285714, 64.7321428571428, 41.5178571428571, 16.7410714285714, 54.2410714285714, 28.5714285714286, 54.0178571428571, 51.3392857142857, 43.9732142857143, 20.9821428571429, 15.1785714285714, 43.5267857142857, 15.1785714285714, 9.82142857142857, 39.2857142857143, 55.8035714285714
Ldlszf, 11.6071428571429, 20.2008928571429, 3.45982142857143, 6.69642857142857, 15.1785714285714, 17.4107142857143, 16.0714285714286, 14.5089285714286, 0, 23.7723214285714, 17.1875, 34.8214285714286, 33.4821428571429, 3.57142857142857, 17.7455357142857, 8.92857142857143, 19.1964285714286, 21.875, 0.669642857142857, 38.8392857142857, 35.2678571428571, 11.2723214285714, 17.8571428571429, 36.2723214285714, 8.03571428571428, 1.78571428571429, 1.78571428571429, 0.892857142857143, 32.9241071428571, 8.03571428571428, 11.4955357142857, 22.3214285714286, 11.3839285714286, 67.4107142857143, 18.8616071428571, 16.40625, 21.4285714285714, 33.9285714285714, 11.8303571428571, 25, 34.4866071428571, 25.1116071428571, 10.7142857142857, 13.0580357142857, 33.4821428571429, 10.4910714285714, 29.4642857142857, 35.0446428571429, 3.57142857142857, 13.5044642857143, 2.00892857142857, 12.0535714285714, 0.446428571428571, 33.0357142857143, 5.35714285714286
Lwuzf, 40.1785714285714, 69.3080357142857, 28.0133928571429, 38.3928571428571, 95.3125, 37.2767857142857, 36.3839285714286, 27.9017857142857, 23.7723214285714, 0, 29.1294642857143, 28.3482142857143, 34.7098214285714, 11.4955357142857, 45.3125, 26.4508928571429, 28.125, 25.2232142857143, 58.2589285714286, 65.9598214285714, 38.3928571428571, 32.3660714285714, 59.5982142857143, 23.7723214285714, 37.0535714285714, 23.4375, 45.7589285714286, 45.7589285714286, 43.0803571428571, 52.7901785714286, 65.8482142857143, 40.0669642857143, 75.6696428571428, 36.8303571428571, 79.6875, 53.90625, 39.9553571428571, 59.5982142857143, 41.0714285714286, 54.9107142857143, 39.84375, 54.6875, 60.2678571428571, 57.1428571428571, 53.7946428571429, 40.1785714285714, 45.9821428571429, 24.5535714285714, 71.875, 41.7410714285714, 48.4375, 47.9910714285714, 58.0357142857143, 32.1428571428571, 53.3482142857143
