ISC 76, Asmp, Chienn, Dwhr, Dzct, Fgmwbz, Fuxtax, Fwrtu, Gfpumc, Imkp, Jhhm, Kdkf, Kskwi, Lwuzf, Mxkah, Nepk, Omoxmm, Pdds, Puycrw, Quha, Sion, Snwid, Sved, Ucjm, Udbgt, Ukyq, Vcfpi, Zsvsib, Bmxhcu, Yrqqw, Lzihpl, Dxgxa, Vugl, Xxabu, Lxjh, Vqahhq, Badadf, Kcax, Rkfn, Kxxe, Mvki, Bgwkys, Wpruf, Whuhqu, Pndyf, Zfxe, Ynaysn, Jpow, Albfdc, Ofnqni, Qiqzn, Vpnhw, Wjrv, Zjmch, Knrjuc, Ldlszf
Asmp, 0, 8.70535714285714, 7.36607142857143, 47.65625, 4.6875, 28.0133928571429, 13.3928571428571, 9.82142857142857, 2.67857142857143, 47.3214285714286, 14.0625, 31.1383928571429, 9.15178571428571, 3.125, 15.8482142857143, 36.1607142857143, 42.8571428571429, 6.02678571428571, 39.2857142857143, 27.5669642857143, 35.9375, 36.3839285714286, 57.5892857142857, 23.6607142857143, 13.3928571428571, 45.9821428571429, 18.75, 63.6160714285714, 6.25, 33.4821428571429, 27.2321428571429, 28.5714285714286, 29.4642857142857, 13.5044642857143, 8.59375, 6.80803571428571, 4.6875, 22.9910714285714, 17.8571428571429, 31.0267857142857, 19.1964285714286, 48.8839285714286, 35.7142857142857, 25.4464285714286, 13.8392857142857, 13.28125, 33.4821428571429, 24.1071428571429, 7.8125, 4.91071428571429, 35.0446428571429, 45.5357142857143, 16.2946428571429, 33.2589285714286, 28.125
Chienn, 8.70535714285714, 0, 33.7053571428571, 10.3794642857143, 33.1473214285714, 6.47321428571428, 61.6071428571429, 41.40625, 30.5803571428571, 26.3392857142857, 26.5625, 38.0580357142857, 40.5133928571429, 15.4017857142857, 16.9642857142857, 10.15625, 17.6339285714286, 43.1919642857143, 50, 42.6339285714286, 60.4910714285714, 47.7678571428571, 21.6517857142857, 0, 26.1160714285714, 20.5357142857143, 29.4642857142857, 25.6696428571429, 44.4196428571429, 37.2767857142857, 19.6428571428571, 38.8392857142857, 37.9464285714286, 68.9732142857143, 67.1875, 24.4419642857143, 61.6071428571429, 43.75, 27.2321428571429, 12.0535714285714, 43.0803571428571, 23.2142857142857, 44.7544642857143, 43.75, 52.4553571428571, 34.8214285714286, 49.1071428571429, 39.9553571428571, 20.5357142857143, 62.9464285714286, 27.5669642857143, 13.1696428571429, 10.0446428571429, 22.8794642857143, 23.6607142857143
Dwhr, 7.36607142857143, 33.7053571428571, 0, 0, 2.23214285714286, 5.13392857142857, 22.0982142857143, 14.5089285714286, 24.5535714285714, 13.3928571428571, 7.58928571428571, 6.80803571428571, 2.90178571428571, 22.0982142857143, 0, 9.82142857142857, 7.58928571428571, 24.6651785714286, 14.5089285714286, 4.91071428571429, 6.47321428571428, 34.375, 33.9285714285714, 23.2142857142857, 14.5089285714286, 12.7232142857143, 30.3571428571429, 12.2767857142857, 31.4732142857143, 2.67857142857143, 19.6428571428571, 27.9017857142857, 27.9017857142857, 20.3125, 16.2946428571429, 30.3571428571429, 26.3392857142857, 0, 49.1071428571429, 11.6071428571429, 31.0267857142857, 5.58035714285714, 25.4464285714286, 19.6428571428571, 19.8660714285714, 19.4196428571429, 12.5, 15.4017857142857, 16.9642857142857, 12.9464285714286, 16.2946428571429, 7.14285714285714, 13.6160714285714, 13.8392857142857, 32.8125
Dzct, 47.65625, 10.3794642857143, 0, 0, 21.4285714285714, 2.12053571428571, 27.0089285714286, 33.9285714285714, 5.58035714285714, 29.0178571428571, 13.6160714285714, 33.4821428571429, 16.2946428571429, 9.04017857142857, 25.1116071428571, 13.3928571428571, 45.0892857142857, 16.1830357142857, 13.5044642857143, 38.7276785714286, 50.8928571428571, 42.0758928571429, 27.0089285714286, 14.9553571428571, 6.69642857142857, 49.21875, 5.58035714285714, 18.3035714285714, 8.03571428571428, 54.1294642857143, 23.2142857142857, 7.25446428571428, 17.5223214285714, 10.4910714285714, 11.9419642857143, 9.93303571428571, 5.80357142857143, 37.7232142857143, 23.4375, 25.4464285714286, 0.223214285714286, 41.5178571428571, 15.4017857142857, 29.9107142857143, 10.2678571428571, 5.80357142857143, 16.0714285714286, 18.5267857142857, 17.6339285714286, 10.0446428571429, 25.8928571428571, 36.6071428571429, 23.1026785714286, 31.9196428571429, 26.1160714285714
Fgmwbz, 4.6875, 33.1473214285714, 2.23214285714286, 21.4285714285714, 0, 2.67857142857143, 20.5357142857143, 8.59375, 10.4910714285714, 34.375, 31.0267857142857, 39.5089285714286, 30.46875, 28.7946428571429, 25, 8.48214285714286, 33.2589285714286, 53.125, 43.75, 10.9375, 32.1428571428571, 37.7232142857143, 10.7142857142857, 10.7142857142857, 25.8928571428571, 39.2857142857143, 24.7767857142857, 26.3392857142857, 14.7321428571429, 19.6428571428571, 57.1428571428571, 20.7589285714286, 4.24107142857143, 37.5, 37.5, 24.7767857142857, 35.9375, 26.3392857142857, 34.375, 16.0714285714286, 27.2321428571429, 36.1607142857143, 21.2053571428571, 18.3035714285714, 40.1785714285714, 29.2410714285714, 41.5178571428571, 43.3035714285714, 34.1517857142857, 28.125, 11.1607142857143, 38.3928571428571, 2.67857142857143, 22.3214285714286, 43.9732142857143
Fuxtax, 28.0133928571429, 6.47321428571428, 5.13392857142857, 2.12053571428571, 2.67857142857143, 0, 4.01785714285714, 4.01785714285714, 20.5357142857143, 14.7321428571429, 34.8214285714286, 27.2321428571429, 15.4017857142857, 5.35714285714286, 24.7767857142857, 17.4107142857143, 31.9196428571429, 21.09375, 22.5446428571429, 36.0491071428571, 33.3705357142857, 33.9285714285714, 24.7767857142857, 12.2767857142857, 0, 3.34821428571429, 10.7142857142857, 40.1785714285714, 24.5535714285714, 6.25, 18.75, 27.0089285714286, 23.4375, 6.58482142857143, 0.223214285714286, 17.6339285714286, 9.375, 4.6875, 15.1785714285714, 38.3928571428571, 8.92857142857143, 2.00892857142857, 3.79464285714286, 16.0714285714286, 13.8392857142857, 34.8214285714286, 18.75, 13.3928571428571, 20.9821428571429, 26.7857142857143, 15.625, 26.1160714285714, 31.4732142857143, 25.78125, 1.33928571428571
Fwrtu, 13.3928571428571, 61.6071428571429, 22.0982142857143, 27.0089285714286, 20.5357142857143, 4.01785714285714, 0, 41.0714285714286, 58.4821428571429, 19.1964285714286, 1.5625, 14.7321428571429, 36.9419642857143, 9.375, 16.9642857142857, 23.6607142857143, 42.2991071428571, 37.0535714285714, 39.2857142857143, 57.1428571428571, 52.9017857142857, 47.5446428571429, 17.6339285714286, 13.3928571428571, 14.9553571428571, 15.2901785714286, 21.875, 30.3571428571429, 18.0803571428571, 50.8928571428571, 12.0535714285714, 35.2678571428571, 57.8125, 44.1964285714286, 54.0178571428571, 41.7410714285714, 29.4642857142857, 38.8392857142857, 20.7589285714286, 26.7857142857143, 40.1785714285714, 20.9821428571429, 55.8035714285714, 67.1875, 29.2410714285714, 26.3392857142857, 2.90178571428571, 28.5714285714286, 61.6071428571429, 35.0446428571429, 25.2232142857143, 10.7142857142857, 20.9821428571429, 25.4464285714286, 8.70535714285714
Gfpumc, 9.82142857142857, 41.40625, 14.5089285714286, 33.9285714285714, 8.59375, 4.01785714285714, 41.0714285714286, 0, 18.5267857142857, 6.69642857142857, 10.7142857142857, 39.0625, 20.7589285714286, 4.6875, 42.8571428571429, 14.9553571428571, 21.875, 24.5535714285714, 15.4017857142857, 53.125, 28.125, 26.3392857142857, 19.6428571428571, 8.48214285714286, 11.3839285714286, 4.6875, 11.0491071428571, 14.9553571428571, 11.6071428571429, 31.25, 0.669642857142857, 33.4821428571429, 12.5, 30.3571428571429, 22.9910714285714, 25.6696428571429, 12.5, 36.3839285714286, 14.2857142857143, 29.7991071428571, 22.5446428571429, 34.8214285714286, 23.4375, 37.9464285714286, 19.1964285714286, 18.0803571428571, 22.8794642857143, 20.7589285714286, 30.1339285714286, 27.34375, 33.7053571428571, 15.2901785714286, 25.6696428571429, 2.00892857142857, 7.58928571428571
Imkp, 2.67857142857143, 30.5803571428571, 24.5535714285714, 5.58035714285714, 10.4910714285714, 20.5357142857143, 58.4821428571429, 18.5267857142857, 0, 36.8303571428571, 14.5089285714286, 29.6875, 22.0982142857143, 27.7901785714286, 15.625, 27.2321428571429, 26.0044642857143, 48.2142857142857, 48.4375, 25.6696428571429, 26.3392857142857, 9.375, 28.5714285714286, 43.75, 11.0491071428571, 7.58928571428571, 23.5491071428571, 14.6205357142857, 44.3080357142857, 49.5535714285714, 17.1875, 16.9642857142857, 55.8035714285714, 30.6919642857143, 16.0714285714286, 50.8928571428571, 31.0267857142857, 34.8214285714286, 38.6160714285714, 35.4910714285714, 32.1428571428571, 16.9642857142857, 47.7678571428571, 23.3258928571429, 39.7321428571429, 24.1071428571429, 7.58928571428571, 34.375, 51.5625, 52.0089285714286, 32.5892857142857, 15.1785714285714, 57.8125, 45.5357142857143, 17.4107142857143
Jhhm, 47.3214285714286, 26.3392857142857, 13.3928571428571, 29.0178571428571, 34.375, 14.7321428571429, 19.1964285714286, 6.69642857142857, 36.8303571428571, 0, 64.2857142857143, 42.8571428571429, 14.5089285714286, 13.3928571428571, 36.3839285714286, 48.6607142857143, 12.2767857142857, 27.4553571428571, 28.5714285714286, 22.0982142857143, 42.7455357142857, 54.0178571428571, 36.1607142857143, 8.92857142857143, 24.5535714285714, 39.3973214285714, 51.7857142857143, 29.4642857142857, 18.3035714285714, 41.2946428571429, 40.8482142857143, 10.2678571428571, 24.5535714285714, 8.92857142857143, 48.6607142857143, 28.125, 62.0535714285714, 47.3214285714286, 14.0625, 38.8392857142857, 13.3928571428571, 36.6071428571429, 40.625, 23.4375, 47.3214285714286, 5.35714285714286, 61.1607142857143, 22.3214285714286, 26.3392857142857, 33.2589285714286, 42.4107142857143, 31.6964285714286, 46.875, 65.1785714285714, 38.3928571428571
