ISC 77, Albfdc, Bgwkys, Bmxhcu, Chienn, Fgmwbz, Fuxtax, Fwrtu, Gfpumc, Imkp, Jhhm, Jpow, Kcax, Knrjuc, Kskwi, Kxxe, Ofnqni, Pdds, Puycrw, Qiqzn, Quha, Snwid, Ukyq, Vpnhw, Vqahhq, Vugl, Wpruf, Yrqqw, Sion, Lwuzf, Lzihpl, Dxgxa, Nepk, Sved, Xxabu, Lxjh, Dzct, Badadf, Rkfn, Mvki, Zsvsib, Whuhqu, Pndyf, Zfxe, Udbgt, Asmp, Ucjm, Omoxmm, Ynaysn, Kdkf, Mxkah, Vcfpi, Dwhr, Wjrv, Zjmch, Ldlszf
Albfdc, 0, 11.6071428571429, 9.375, 29.1294642857143, 28.5714285714286, 19.1964285714286, 22.4330357142857, 38.3928571428571, 46.4285714285714, 6.91964285714286, 19.7544642857143, 16.0714285714286, 37.9464285714286, 13.0580357142857, 15.7366071428571, 4.12946428571429, 17.1875, 41.1830357142857, 4.6875, 24.4419642857143, 17.1875, 0.892857142857143, 28.0133928571429, 8.92857142857143, 36.6071428571429, 9.375, 6.02678571428571, 30.5803571428571, 8.03571428571428, 26.5625, 1.78571428571429, 17.1875, 18.0803571428571, 37.1651785714286, 14.7321428571429, 12.3883928571429, 34.8214285714286, 22.3214285714286, 10.2678571428571, 7.58928571428571, 11.2723214285714, 33.0357142857143, 46.4285714285714, 11.2723214285714, 14.1741071428571, 56.4732142857143, 22.65625, 43.4151785714286, 21.2053571428571, 2.67857142857143, 13.6160714285714, 28.5714285714286, 56.9196428571429, 30.5803571428571, 32.1428571428571
Bgwkys, 11.6071428571429, 0, 52.6785714285714, 55.1339285714286, 20.5357142857143, 39.0625, 25.6696428571429, 10.9375, 3.34821428571429, 0, 22.7678571428571, 10.6026785714286, 16.5178571428571, 7.58928571428571, 32.1428571428571, 43.8616071428571, 4.46428571428571, 2.23214285714286, 0.669642857142857, 26.7857142857143, 23.2142857142857, 18.9732142857143, 37.0535714285714, 10.7142857142857, 2.67857142857143, 26.4508928571429, 20.9821428571429, 27.9017857142857, 38.3928571428571, 27.0089285714286, 42.6339285714286, 28.125, 7.58928571428571, 20.5357142857143, 22.0982142857143, 25.4464285714286, 8.03571428571428, 18.0803571428571, 26.7857142857143, 40.8482142857143, 3.34821428571429, 26.5625, 8.03571428571428, 25.8928571428571, 11.6071428571429, 37.5, 15.1785714285714, 8.03571428571428, 27.6785714285714, 26.3392857142857, 50, 54.9107142857143, 9.59821428571428, 12.5, 7.36607142857143
Bmxhcu, 9.375, 52.6785714285714, 0, 69.3080357142857, 35.7142857142857, 29.2410714285714, 49.5535714285714, 54.9107142857143, 39.0625, 25.6696428571429, 56.0267857142857, 20.0892857142857, 13.6160714285714, 29.0178571428571, 14.84375, 19.8660714285714, 25.3348214285714, 0.111607142857143, 31.9196428571429, 13.1696428571429, 38.1696428571429, 36.6071428571429, 14.7321428571429, 23.6607142857143, 26.3392857142857, 37.7232142857143, 50.8928571428571, 36.3839285714286, 32.8125, 19.1964285714286, 42.8571428571429, 24.3303571428571, 48.8839285714286, 22.3214285714286, 36.3839285714286, 26.1160714285714, 29.0178571428571, 70.7589285714286, 21.4285714285714, 83.7053571428571, 14.5089285714286, 45.9821428571429, 16.5178571428571, 25.6696428571429, 18.3035714285714, 32.1428571428571, 33.2589285714286, 37.7232142857143, 56.25, 47.7678571428571, 24.5535714285714, 50.4464285714286, 34.5982142857143, 7.8125, 32.3660714285714
Chienn, 29.1294642857143, 55.1339285714286, 69.3080357142857, 0, 25.4464285714286, 36.3839285714286, 42.96875, 22.9910714285714, 39.0625, 33.0357142857143, 37.9464285714286, 16.40625, 14.3973214285714, 16.5178571428571, 30.2455357142857, 42.8571428571429, 41.0714285714286, 25.4464285714286, 1.5625, 31.6964285714286, 42.8571428571429, 32.8125, 27.9017857142857, 42.1875, 38.28125, 47.2098214285714, 29.9107142857143, 47.3214285714286, 47.65625, 33.4821428571429, 37.7232142857143, 43.5267857142857, 18.4151785714286, 56.25, 26.7857142857143, 37.5, 55.8035714285714, 35.2678571428571, 1.5625, 50.5580357142857, 37.0535714285714, 31.4732142857143, 33.0357142857143, 31.6964285714286, 17.8571428571429, 50.8928571428571, 12.6116071428571, 37.0535714285714, 45.9821428571429, 47.0982142857143, 55.3571428571429, 41.7410714285714, 31.0267857142857, 35.3794642857143, 55.46875
Fgmwbz, 28.5714285714286, 20.5357142857143, 35.7142857142857, 25.4464285714286, 0, 39.9553571428571, 17.4107142857143, 56.0267857142857, 9.04017857142857, 5.80357142857143, 4.12946428571429, 1.33928571428571, 4.12946428571429, 37.0535714285714, 48.6607142857143, 28.125, 37.2767857142857, 45.7589285714286, 13.1696428571429, 21.3169642857143, 28.125, 22.8794642857143, 35.8258928571429, 45.2008928571429, 35.8258928571429, 20.9821428571429, 36.6071428571429, 19.3080357142857, 25.1116071428571, 34.1517857142857, 16.6294642857143, 20.2008928571429, 54.0178571428571, 20.5357142857143, 33.2589285714286, 16.5178571428571, 35.2678571428571, 13.6160714285714, 18.75, 27.2321428571429, 44.1964285714286, 60.2678571428571, 47.9910714285714, 56.0267857142857, 19.0848214285714, 28.125, 39.7321428571429, 34.8214285714286, 30.9151785714286, 55.1339285714286, 25, 13.9508928571429, 35.0446428571429, 5.80357142857143, 30.8035714285714
Fuxtax, 19.1964285714286, 39.0625, 29.2410714285714, 36.3839285714286, 39.9553571428571, 0, 43.8616071428571, 15.625, 16.0714285714286, 2.23214285714286, 16.8526785714286, 32.7008928571429, 18.75, 25.8928571428571, 26.0044642857143, 36.0491071428571, 27.0089285714286, 24.5535714285714, 5.58035714285714, 54.6875, 26.4508928571429, 16.9642857142857, 28.5714285714286, 37.5, 50.3348214285714, 28.5714285714286, 19.1964285714286, 31.4732142857143, 28.7946428571429, 32.3660714285714, 42.1875, 54.9107142857143, 33.4821428571429, 33.0357142857143, 47.9910714285714, 44.8660714285714, 32.5892857142857, 34.375, 26.1160714285714, 23.6607142857143, 21.875, 50, 34.375, 16.0714285714286, 42.4107142857143, 16.5178571428571, 16.2946428571429, 23.2142857142857, 5.58035714285714, 39.2857142857143, 41.5178571428571, 41.0714285714286, 18.5267857142857, 34.1517857142857, 23.4375
Fwrtu, 22.4330357142857, 25.6696428571429, 49.5535714285714, 42.96875, 17.4107142857143, 43.8616071428571, 0, 38.5044642857143, 57.5892857142857, 36.8303571428571, 29.9107142857143, 4.91071428571429, 20.5357142857143, 30.1339285714286, 10.7142857142857, 25.8928571428571, 41.0714285714286, 9.70982142857143, 14.84375, 30.9151785714286, 18.5267857142857, 12.6116071428571, 40.625, 13.3928571428571, 40.625, 10.2678571428571, 19.0848214285714, 41.0714285714286, 40.5133928571429, 57.5892857142857, 15.8482142857143, 17.4107142857143, 40.7366071428571, 27.34375, 21.4285714285714, 34.1517857142857, 22.8794642857143, 43.9732142857143, 21.3169642857143, 26.6741071428571, 24.3303571428571, 18.1919642857143, 2.12053571428571, 8.25892857142857, 24.3303571428571, 22.7678571428571, 57.3660714285714, 21.875, 44.53125, 12.5, 22.9910714285714, 58.4821428571429, 29.6875, 37.9464285714286, 18.5267857142857
Gfpumc, 38.3928571428571, 10.9375, 54.9107142857143, 22.9910714285714, 56.0267857142857, 15.625, 38.5044642857143, 0, 45.9821428571429, 56.25, 36.1607142857143, 32.1428571428571, 28.125, 60.0446428571429, 37.0535714285714, 19.3080357142857, 49.3303571428571, 46.4285714285714, 16.9642857142857, 60.9375, 16.8526785714286, 37.5, 62.8348214285714, 32.1428571428571, 27.9017857142857, 30.8035714285714, 39.2857142857143, 57.3660714285714, 31.9196428571429, 17.8571428571429, 38.8392857142857, 16.2946428571429, 77.2321428571428, 31.4732142857143, 62.9464285714286, 47.7678571428571, 17.6339285714286, 37.2767857142857, 47.3214285714286, 37.2767857142857, 50, 28.125, 60.2678571428571, 64.0625, 32.5892857142857, 37.7232142857143, 53.5714285714286, 48.8839285714286, 80.5803571428571, 50.6696428571429, 40.1785714285714, 30.3571428571429, 62.0535714285714, 32.5892857142857, 33.7053571428571
Imkp, 46.4285714285714, 3.34821428571429, 39.0625, 39.0625, 9.04017857142857, 16.0714285714286, 57.5892857142857, 45.9821428571429, 0, 24.5535714285714, 17.1875, 5.80357142857143, 39.7321428571429, 6.25, 23.5491071428571, 0, 27.6785714285714, 23.6607142857143, 16.2946428571429, 25.2232142857143, 21.4285714285714, 16.7410714285714, 22.3214285714286, 13.3928571428571, 61.1607142857143, 14.6205357142857, 17.4107142857143, 27.2321428571429, 25.2232142857143, 35.4910714285714, 9.59821428571428, 27.9017857142857, 16.9642857142857, 39.0625, 10.7142857142857, 12.5, 39.0625, 17.8571428571429, 8.70535714285714, 18.5267857142857, 4.6875, 33.9285714285714, 17.8571428571429, 6.69642857142857, 15.1785714285714, 31.6964285714286, 27.9017857142857, 38.6160714285714, 38.6160714285714, 9.59821428571428, 3.34821428571429, 44.4196428571429, 42.6339285714286, 42.1875, 44.6428571428571
Jhhm, 6.91964285714286, 0, 25.6696428571429, 33.0357142857143, 5.80357142857143, 2.23214285714286, 36.8303571428571, 56.25, 24.5535714285714, 0, 9.82142857142857, 1.45089285714286, 0.892857142857143, 44.6428571428571, 8.92857142857143, 20.5357142857143, 41.5178571428571, 31.3616071428571, 24.3303571428571, 33.4821428571429, 31.6964285714286, 0.223214285714286, 22.9910714285714, 24.7767857142857, 25.2232142857143, 5.80357142857143, 32.8125, 27.9017857142857, 44.1964285714286, 17.1875, 31.6964285714286, 5.35714285714286, 23.2142857142857, 29.0178571428571, 28.125, 18.9732142857143, 18.9732142857143, 22.0982142857143, 44.6428571428571, 3.57142857142857, 27.2321428571429, 16.5178571428571, 36.8303571428571, 40.1785714285714, 49.5535714285714, 0.892857142857143, 20.9821428571429, 15.625, 37.0535714285714, 39.2857142857143, 26.7857142857143, 16.7410714285714, 32.5892857142857, 27.0089285714286, 20.5357142857143
